day,date,time,operator,branch,driver,temperature,bill,pizzas,free_wine,got_wine,discount_customer
Thursday,01-May-14,3.512.836.705,Laura,East,Bruno,682.877.161,58.4,4,0,0,1
Thursday,01-May-14,2.520.307.368,Melissa,East,Salvatore,7.099.779.078,26.4,2,0,0,0
Thursday,01-May-14,4.564.340.414,Melissa,West,Salvatore,5.339.414.515,58.1,3,1,0,0
Thursday,01-May-14,293.742.975,Melissa,East,Salvatore,7.030.659.627,35.2,3,0,0,0
Thursday,01-May-14,299.946.103,Melissa,West,Salvatore,7.150.168.775,38.4,2,0,0,0
Thursday,01-May-14,4.025.432.119,Melissa,Centre,Bruno,607.595.043,61.8,4,1,1,0
Thursday,01-May-14,4.872.860.983,Laura,West,Bruno,5.825.869.678,57.9,3,1,1,0
Thursday,01-May-14,3.402.772.224,Melissa,West,Mario,68.127.927,35.8,2,0,0,0
Thursday,01-May-14,2.820.942.882,Laura,Centre,Mario,6.494.660.654,36.6,2,0,0,0
Thursday,01-May-14,3.795.479.246,Melissa,Centre,Bruno,6.000.737.905,44.8,5,0,0,0
Thursday,01-May-14,4.207.956.336,Melissa,Centre,Bruno,6.553.871.672,49.5,4,1,0,0
Thursday,01-May-14,248.079.371,Laura,East,Mario,6.278.966.823,49.7,3,0,0,0
Thursday,01-May-14,283.202.182,Melissa,West,Mario,6.988.133.117,41.1,1,0,0,0
Thursday,01-May-14,2.545.197.666,Melissa,Centre,Salvatore,7.486.141.416,42.9,1,0,0,0
Thursday,01-May-14,2.378.428.051,Laura,West,Bruno,6.462.645.622,25.9,1,0,0,0
Thursday,01-May-14,4.071.920.797,Melissa,West,Salvatore,712.169.528,41.5,6,1,1,0
Thursday,01-May-14,2.613.680.395,Melissa,Centre,Mario,5.966.240.621,34.9,3,0,0,0
Thursday,01-May-14,4.177.403.348,Melissa,East,Bruno,6.592.436.974,42.4,4,1,1,1
Thursday,01-May-14,2.515.866.869,Laura,East,Mario,7.512.394.691,27.3,1,0,0,0
Thursday,01-May-14,3.673.024.497,Melissa,Centre,Bruno,6.580.071.131,47.7,4,0,0,1
Thursday,01-May-14,4.778.338.109,Melissa,Centre,Mario,6.610.352.682,63.7,2,1,1,1
Thursday,01-May-14,3.519.658.143,Laura,East,Salvatore,6.617.844.887,31.3,3,0,0,0
Thursday,01-May-14,3.064.514.292,Melissa,West,Bruno,6.654.460.279,62.7,4,0,0,1
Thursday,01-May-14,25.011.874,Melissa,East,Salvatore,6.248.673.985,37.7,1,0,0,0
Thursday,01-May-14,4.428.090.194,Melissa,Centre,Bruno,6.066.103.032,47.5,3,1,1,0
Thursday,01-May-14,3.798.576.071,Melissa,Centre,Bruno,4.930.972.228,61.3,6,0,0,0
Thursday,01-May-14,2.635.592.633,Laura,Centre,Salvatore,682.157.424,48.9,5,0,0,0
Thursday,01-May-14,3.166.187.045,Melissa,West,Salvatore,6.341.107.827,27,2,0,0,0
Thursday,01-May-14,3.152.627.988,Melissa,West,Mario,7.026.729.044,45.5,3,0,0,0
Thursday,01-May-14,4.089.840.737,Melissa,West,Salvatore,6.338.302.467,49.6,6,1,1,0
Thursday,01-May-14,3.276.256.486,Laura,West,Mario,6.418.772.587,52.9,1,0,0,0
Thursday,01-May-14,2.761.661.739,Laura,East,Salvatore,5.533.521.271,24.7,1,0,0,1
Thursday,01-May-14,3.752.441.972,Melissa,West,Bruno,6.275.530.931,36.9,2,0,0,0
Thursday,01-May-14,3.327.723.971,Laura,West,Salvatore,6.765.973.631,37.6,2,0,0,0
Thursday,01-May-14,1.863.962.344,Laura,East,Bruno,8.758.242.206,19.5,1,0,0,0
Thursday,01-May-14,3.294.450.818,Melissa,East,Mario,5.041.912.956,41.3,3,0,0,0
Thursday,01-May-14,292.574.891,Laura,East,Bruno,5.539.851.821,35.3,3,0,0,0
Thursday,01-May-14,4.498.236.823,Laura,Centre,Mario,6.621.841.365,56.9,4,1,1,1
